2024-06-05 16:05:55,528 INFO    StreamThr :41003 [internal.py:wandb_internal():85] W&B internal server running at pid: 41003, started at: 2024-06-05 16:05:55.527931
2024-06-05 16:05:55,529 DEBUG   HandlerThread:41003 [handler.py:handle_request():158] handle_request: status
2024-06-05 16:05:55,531 INFO    WriterThread:41003 [datastore.py:open_for_write():87] open: /Users/syrkis/code/miiii/wandb/run-20240605_160555-alwh9qod/run-alwh9qod.wandb
2024-06-05 16:05:55,531 DEBUG   SenderThread:41003 [sender.py:send():378] send: header
2024-06-05 16:05:55,543 DEBUG   SenderThread:41003 [sender.py:send():378] send: run
2024-06-05 16:05:56,069 INFO    SenderThread:41003 [dir_watcher.py:__init__():211] watching files in: /Users/syrkis/code/miiii/wandb/run-20240605_160555-alwh9qod/files
2024-06-05 16:05:56,069 INFO    SenderThread:41003 [sender.py:_start_run_threads():1123] run started: alwh9qod with start time 1717614355.528459
2024-06-05 16:05:56,077 DEBUG   HandlerThread:41003 [handler.py:handle_request():158] handle_request: check_version
2024-06-05 16:05:56,077 DEBUG   SenderThread:41003 [sender.py:send_request():405] send_request: check_version
2024-06-05 16:05:56,166 DEBUG   HandlerThread:41003 [handler.py:handle_request():158] handle_request: run_start
2024-06-05 16:05:56,175 DEBUG   HandlerThread:41003 [system_info.py:__init__():26] System info init
2024-06-05 16:05:56,175 DEBUG   HandlerThread:41003 [system_info.py:__init__():41] System info init done
2024-06-05 16:05:56,175 INFO    HandlerThread:41003 [system_monitor.py:start():194] Starting system monitor
2024-06-05 16:05:56,175 INFO    SystemMonitor:41003 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-06-05 16:05:56,175 INFO    HandlerThread:41003 [system_monitor.py:probe():214] Collecting system info
2024-06-05 16:05:56,177 INFO    SystemMonitor:41003 [interfaces.py:start():188] Started cpu monitoring
2024-06-05 16:05:56,180 INFO    SystemMonitor:41003 [interfaces.py:start():188] Started disk monitoring
2024-06-05 16:05:56,182 INFO    SystemMonitor:41003 [interfaces.py:start():188] Started gpuapple monitoring
2024-06-05 16:05:56,184 INFO    SystemMonitor:41003 [interfaces.py:start():188] Started memory monitoring
2024-06-05 16:05:56,185 INFO    SystemMonitor:41003 [interfaces.py:start():188] Started network monitoring
2024-06-05 16:05:56,525 DEBUG   HandlerThread:41003 [system_info.py:probe():150] Probing system
2024-06-05 16:05:56,529 DEBUG   HandlerThread:41003 [system_info.py:_probe_git():135] Probing git
2024-06-05 16:05:56,542 DEBUG   HandlerThread:41003 [system_info.py:_probe_git():143] Probing git done
2024-06-05 16:05:56,542 DEBUG   HandlerThread:41003 [system_info.py:probe():198] Probing system done
